scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
2627,宜昌交运,0.0855,"""-""",459976186.2,10.85703763,11417276.57,-9.37093781,46.8384,1.22,7.03950056,0.03920491,12.13061075,交运物流
2244,滨江集团,0.14,"""-""",1217140239,-74.24169403,430497996.4,12.23211667,12.5401,3.31,4.24831484,0.79073028,37.63760976,房地产
2223,鱼跃医疗,0.28,"""-""",901864622.8,24.06375293,185730336,30.36242935,172.16,3.71,7.62399761,0.00420145,41.5332237,医疗行业
2310,东方园林,-0.01,"""-""",1229266787,63.39199643,-35109514.69,47.35020512,-104.5097,-0.38,3.41768006,0.00989349,32.11083949,园林工程
2246,北化股份,0.0248,"""-""",278602684.8,10.48579655,10253601.39,14.34583364,-32.4905,0.83,2.99646777,0.04073582,22.05478002,化工行业
2001,新和成,0.21,"""-""",1227987835,13.01046148,231742243.6,48.86167591,-35.1363,2.83,7.61620895,0.11658904,38.90111742,医药制造
2579,中京电子,0.01,"""-""",246358275.7,53.40887154,4140119.93,-95.32249444,-71.9848,0.43,2.58698724,0.00587219,17.05287337,电子元件
2574,明牌珠宝,0.04,"""-""",1114473029,-12.86831288,21123575.65,-24.84895218,374.1674,0.71,5.85428173,0.11085696,9.35747163,珠宝首饰
2501,利源精制,0.09,"""-""",649102851.9,36.4196711,104830343.8,7.5851317,-21.8674,1.42,6.28113959,0.21232731,32.43971389,有色金属
2519,银河电子,0.06,"""-""",378796827.2,-18.88899953,37937128.22,-44.71753252,-52.49,1.07,5.49794398,-0.04094389,29.04423227,家电行业
2486,嘉麟杰,-0.0311,"""-""",142070655.2,-1.3512991,-25876491.34,-60.34628675,-147.5877,-2.82,1.08774989,0.04324601,14.58360785,纺织服装
2457,青龙管业,-0.0182,"""-""",127223058,38.51266752,-6096784.53,-367.3826148,-146.0385,-0.34,5.33703985,-0.08915387,32.34128037,水泥建材
300173,智慧松德,0.002,"""-""",56174111.95,3.90633026,1357653.16,-86.85621783,-94.7924,0.08,2.80502006,-0.06547923,32.22612757,机械行业
2354,天神娱乐,0.81,"""-""",639633152.3,42.7781358,236019490,118.1222364,13.3662,4.02,19.90138864,0.4086382,61.91858599,电子信息
2327,富安娜,0.09,"""-""",431372254.9,0.05631742,79308379.72,-10.39494231,-59.4366,3.18,3.24747407,-0.05422613,50.24867976,纺织服装
300041,回天新材,0.1153,"""-""",353840475.4,24.82217439,46224328.97,20.29745292,139.4525,2.89,4.04779576,0.07121332,29.25646804,化工行业
2547,春兴精工,0.02,"""-""",662332862.6,19.5865671,24546344.3,-39.35957485,-15.2435,0.89,2.72240925,-0.06392272,18.07927283,金属制品
300052,中青宝,0.01,"""-""",69621151.42,11.5939868,3309938.79,-4.34494589,105.6925,0.35,3.66378545,-0.08155532,55.32301281,电子信息
2449,国星光电,0.1088,"""-""",652892796.3,42.15646861,51757601.33,38.28893357,-15.7349,1.77,6.19287333,0.19946458,21.80155301,电子元件
2359,北讯集团,-0.0131,"""-""",243860541.9,68.77229154,-5461617.58,-187.3662232,-306.6851,-0.61,2.13027475,-0.06524373,18.57757689,输配电气
2478,常宝股份,0.05,"""-""",632382705.8,12.64265139,20876055.11,-26.37130515,-14.8873,0.69,7.55791867,-0.04631648,12.98858734,钢铁行业
2617,露笑科技,0.0681,"""-""",778458785.5,175.4225395,50015910.44,880.7212427,205.4793,2.18,3.15757492,-0.3426597,14.392221,金属制品
601877,正泰电器,0.18,"""-""",3980952721,3.37848771,359269597.5,10.7876474,-60.1581,2.18,8.49271829,-0.02627992,28.39030592,输配电气
2251,步步高,0.1757,"""-""",4745756284,5.71829905,151756036.7,21.58357808,467.5236,2.43,7.31435292,0.63090426,21.22941682,商业百货
2273,水晶光电,0.1,"""-""",454971717.4,45.31673418,64573920.8,62.64176536,-23.1332,2.2,4.47533231,0.15499251,29.79801827,电子元件
2150,通润装备,0.07,"""-""",278778385.7,34.42257534,19532427.3,38.4795797,-42.9746,1.84,3.93429115,-0.11844506,24.80440459,金属制品
2105,信隆健康,0.004,"""-""",377232723.1,13.54058678,1372363.27,-73.12579888,-78.0954,0.28,1.31512521,0.02362483,12.52736131,文教休闲
