scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
600547,山东黄金,0.77,0.88,50198852620,28.91230747,1292776145,100.0889286,212.9589,10.36,8.35663015,1.46676143,8.7646045,贵金属
822,山东海化,-0.14,0.15,3360746122,-4.60281422,-123086766.7,-200.3594208,-572.5141,-5.58,2.39663139,0.32142624,16.47601376,化工行业
22,深赤湾A,0.826,0.823,2381483400,1.73546914,532376493,0.87635954,-34.578,11.57,7.34638182,1.73867197,43.61589097,港口水运
200022,深赤湾B,0.826,0.823,2381483400,1.73546914,532376493,0.87635954,-34.578,11.57,7.34638182,1.73867197,43.61589097,港口水运
300459,金科文化,0.19,0.18,894561203.1,76.63626877,204998914.8,322.8725557,-1.8673,6.56,3.1373525,0.21344791,42.32981411,文教休闲
2812,创新股份,1.52,1.4,1146169799,1.29747181,165391941.2,10.22272009,57.1937,9.2,11.74589055,0.82934795,28.8295352,包装材料
603977,国泰集团,0.59,0.34,471901349.2,-2.32302404,100945944.6,4.05160622,-49.6646,15.55,4.47582115,0.41450364,46.86722751,化工行业
300505,川金诺,0.6637,0.601,646804505,18.47114244,58087276.21,37.65462641,-37.7675,10.74,6.64765504,0.55216898,35.05855235,化工行业
300041,回天新材,0.2421,0.2067,1131596089,16.03585262,97039225.71,15.72666454,30.9629,6.3,3.9324611,0.26829207,33.5889457,化工行业
2012,凯恩股份,0.02,0,942570194.3,5.61003255,8689141.2,-54.97906408,289.8665,0.73,2.54221229,0.19161264,26.85510058,造纸印刷
872000,科美华,0.97,0.9673,52884946.13,207.1857369,12549325.44,870.9131466,"""-""",59.17,1.89,1.06686116,74.67841115,-
836663,金牛物联,-0.08,-0.24,17113943.87,-43.60154407,-2346923.1,-150.2290805,"""-""",-49.9,1.48,0.1801964,30.84781714,-
836091,金联星,0.3,0.26,448346586.6,6.55781913,12462980.11,46.14083877,"""-""",5,5.86,0.61185211,10.54027745,-
